Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00041315,0.046201,-0.0052508,0,0,0,0.13447,8.973E-05,-3.791E-06,1.0383E-06,6.194E-05,1.0768E-06,0.00014351,0,0,0,0,0,0,package://brunel_hand/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/base_link.STL,,RH_Palm-s-1;RH_Palm_Mould_Main_Body-s-1;RH_Back_Cover-s-1;BrunelThumbThumb_ligament_-1;RH_Thumb_Ligament_Cover-1,original_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1_1_link,-0.031402,-0.0015918,0.012353,0,0,0,0.021976,3.556E-06,6.6303E-07,-2.7864E-06,8.0335E-06,2.8174E-07,6.1785E-06,0,0,0,0,0,0,package://brunel_hand/meshes/finger_1_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_1_1_link.STL,,BrunelThumbThumb-s-1,_finger_1_frame,_finger_1_axis,finger_1_1_joint,revolute,0.016632,0.050521,0.0053833,-1.5736,0.00052366,-2.9587,base_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_2_1_link,-0.0202210473916627,0.00467377505929652,-1.00759010020907E-07,0,0,0,0.00661608567108159,2.18317371661273E-07,-4.68201511708065E-08,1.73875589586181E-10,1.29642016877764E-06,1.31816692728403E-11,1.17311400947569E-06,0,0,0,0,0,0,package://brunel_hand/meshes/finger_2_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_2_1_link.STL,,1st_Finger-s-proxim-1,_finger_2_1_frame,_finger_2_1_axis,finger_2_1_joint,revolute,0.028329,0.096961,-0.010082,-1.5708,0.00019294,-1.6582,base_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_2_2_link,-0.0141150216812508,0.00258059835660092,0.0084986836056486,0,0,0,0.00259607203005743,5.85395692176209E-08,-1.30135935599493E-08,7.89158220478838E-12,2.78255052184547E-07,2.28623553967967E-11,2.35351853972616E-07,0,0,0,0,0,0,package://brunel_hand/meshes/finger_2_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_2_2_link.STL,,1st_Finger-s-disal-1,_finger_2_2_frame,_finger_2_2_axis,finger_2_2_joint,revolute,-0.045449,0.00063441,-0.0086815,0,0,0,finger_2_1_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_3_1_link,0.0187756397672986,-0.00703757558019307,0.00879662298752913,0,0,0,0.00644141765002093,2.1936522301528E-07,7.21593370601811E-08,-1.9723276489598E-09,1.27804712865319E-06,1.57518119751195E-10,1.15749039782825E-06,0,0,0,0,0,0,package://brunel_hand/meshes/finger_3_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_3_1_link.STL,,2nd_Finger-s-proxim-1,_finger_3_1_frame,_finger_3_1_axis,finger_3_1_joint,revolute,0.00058329,0.098288,-0.0098332,1.5706,-0.10756,1.5725,base_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_3_2_link,0.0177284269882717,-0.00268425424329814,0.00849547567477923,0,0,0,0.00449632362127892,1.26213840966193E-07,7.64286378399953E-08,-8.8244175595536E-11,6.93646438905955E-07,6.6570671182524E-11,6.22866207662228E-07,0,0,0,0,0,0,package://brunel_hand/meshes/finger_3_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_3_2_link.STL,,2nd_Finger-s-disal-1,_finger_3_2_frame,_finger_3_2_axis,finger_3_2_joint,revolute,0.044645,-0.0057666,0.0001806,0,-0.0012613,0.0042746,finger_3_1_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_4_1_link,0.0162572835368526,-0.00488302852921883,0.00876761711946435,0,0,0,0.00536275852663386,1.791468653917E-07,-2.87789686177151E-08,-1.16140355438827E-10,8.24470908744062E-07,-4.21616914432381E-11,7.19548201354324E-07,0,0,0,0,0,0,package://brunel_hand/meshes/finger_4_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_4_1_link.STL,,3rd_Finger-s-proxim-1,_finger_4_1_frame,_finger_4_1_axis,finger_4_1_joint,revolute,-0.018403,0.096698,-0.0098321,1.5708,-0.00042798,1.6579,base_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_4_2_link,0.0133228563921335,-0.00269242367370009,0.00851071523128341,0,0,0,0.00192260099119397,4.98177703314545E-08,-7.96700117493705E-09,-1.13968241920613E-10,1.722974760862E-07,-2.75501416152075E-11,1.34088414416626E-07,0,0,0,0,0,0,package://brunel_hand/meshes/finger_4_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_4_2_link.STL,,3rd_Finger-s-disal-1,_finger_4_2_frame,_finger_4_2_axis,finger_4_2_joint,revolute,0.038006,-0.00098201,0.00014384,0,0,0,finger_4_1_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_5_1_link,0.0128798398675625,-0.00471975930859924,0.00876548377393719,0,0,0,0.00416066056784568,1.41371201366001E-07,-1.69713132500434E-08,-1.36203315552671E-10,4.91989328741884E-07,-2.58417120020823E-11,4.06362788536599E-07,0,0,0,0,0,0,package://brunel_hand/meshes/finger_5_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_5_1_link.STL,,4th_Finger-s-proxim-1,_finger_5_1_frame,_finger_5_1_axis,finger_5_1_joint,revolute,-0.037203,0.093477,-0.0098321,1.5708,0.00025799,1.7459,base_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
finger_5_2_link,0.012259989141427,-0.00275635133880762,0.00848936365240834,0,0,0,0.0017693580256634,4.65085538075321E-08,-6.48709824111738E-09,-5.90074748569474E-12,1.41496013295727E-07,-2.63789124495209E-11,1.05748957325757E-07,0,0,0,0,0,0,package://brunel_hand/meshes/finger_5_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://brunel_hand/meshes/finger_5_2_link.STL,,4th_Finger-s-disal-1,_finger_5_2_frame,_finger_5_2_axis,finger_5_2_joint,revolute,0.031007,-0.0010094,9.0267E-05,0,0,0,finger_5_1_link,0,0,1,1.57,1.57,0,1.57,,,,,,,,
